€400,000	Carrowbeg, Westport, Mayo
€230,000	Brackloonagh South,Charlestown,Co. Mayo,F12VK85
€229,000	30 Quay Village,The Quay,Westport,Co. Mayo,F28 CD00
€599,000	Formally Rosmoney Spa, Rosmoney, Westport, Co. Mayo
Guide Price €150,000	Carrowmore, Knock, Co. Mayo
Guide Price €95,000	4 The Railway Cottages, Station Road, Foxford, Co. Mayo
€280,000	42 Kings HIll , Westport, Mayo
€329,000	Bellgarrow, Foxford, Mayo
€85,000	Site Sold SPP,Derrygorman,Westport,Co Mayo
€950,000	Ballycurrin Demesne, Ower, Claremorris, Mayo
€150,000	53 Garryduff Drive, Castlebar, Mayo
AMV €100,000	5 Castlegrove Mall, Castlebar, Mayo
€175,000	17 Cnoc An Dara, Foxford, Mayo
€125,000	Gortmelia Strand, Barnatra, Belmullet, Mayo
€149,000	1 Esker Pines, Ballyhaunis, Mayo
€220,000	Ballyweeaun, Clonbur, Co. Galway, Clonbur, Galway
AMV €99,000	Churchfield, Knock, Mayo
€49,000	Cloghvoley,Kilkelly,Co Mayo,F35RH66
€169,000	34 Carrowmore Drive,Knock,Co. Mayo,F12 P275
€229,000	6 Quay Road,Westport,Co Mayo,F28 RR84
€109,000	Glann East, Charlestown, Mayo
